1   53119   961820  168049
2   53066   933673  176267
4   53289   942865  172912
8   53216   837034  168898
16  53254   827399  166427
32  52952   740263  172185
64  52499   659878  169231
128 50065   582512  174005
256 49348   580011  166646
512 49297   547149  167829
1024	48598	512452	152447
2048	48274	413858	154813
4096	47004	307174	138756
