Sheet = "11_002_Clinton_Missouri_Switch_Replacement_08152011.pdf" 2011-05-24
-------------
"WCST","WCCITY","SWNAME","SWCLLI","SWTYPE","SWDESC","SPC","HOST","EFFDATE"
"SWNAME","SWCLLI","WCST"
"Beaufort","BUFTSCXADS0","SC"
"Laurel Bay","LRBYSCXARS0","SC"
"Ridgeland","RDLDSCXARS0","SC"
"St. Helena Island","STHLSCXARS0","SC"
Sheet = "2-14-2012JacksonvilleWestArkansasSwitchReplacementrev-3.doc" 2012-02-28
-------------
"NPA","NXX","WCST","SWNAME","SWCLLI","SWITCHDESC","SPC","HOST","SWFUNC","EFFDATE"
"501","983","AR","Jacksonville West","JCVLARXBDS0","Alcatel-Lucent GTD5","232-029-004","-","-","-"
"501","987","AR","Jacksonville West","JCVLARXBDS0","Alcatel-Lucent GTD5","232-029-004","-","-","-"
"501","988","AR","Jacksonville West","JCVLARXBDS0","Alcatel-Lucent GTD5","232-029-004","-","-","-"
"501","983","AR","Jacksonville West","JCVLARXBRS0","","232-029-003","JCVLARXADS0","REMOTE","2012-05-16"
"501","987","AR","Jacksonville West","JCVLARXBRS0","","232-029-003","JCVLARXADS0","REMOTE","2012-05-16"
"501","988","AR","Jacksonville West","JCVLARXBRS0","","232-029-003","JCVLARXADS0","REMOTE","2012-05-16"
"-","-","AR","Jacksonville Main","JCVLARXADS0","Alcatel-Lucent GTD5","232-029-003","-","HOST","-"
