AB	403	202
AB	403	306
AB	403	471
AB	403	558
AB	403	697
AB	403	756
AB	403	776
AB	403	874
AB	587	218
AB	587	246
AB	587	248
AB	587	701
AB	587	727
AB	780	202
AB	780	225
AB	780	305
AB	780	350
AB	780	463
AB	780	499
AB	780	519
AB	780	656
AB	780	663
AB	780	702
AB	780	772
AB	780	854
AI	264	222
AK	907	225
AK	907	259
AK	907	268
AK	907	294
AK	907	380
AK	907	398
AK	907	424
AK	907	426
AK	907	429
AK	907	439
AK	907	448
AK	907	464
AK	907	472
AK	907	479
AK	907	496
AK	907	524
AK	907	544
AK	907	547
AK	907	569
AK	907	572
AK	907	580
AK	907	588
AK	907	656
AK	907	675
AK	907	691
AK	907	720
AK	907	721
AK	907	729
AK	907	739
AK	907	773
AK	907	892
AK	907	934
AK	907	968
AK	907	995
AL	205	233
AL	205	271
AL	205	284
AL	205	355
AL	205	363
AL	205	371
AL	205	398
AL	205	457
AL	205	466
AL	205	472
AL	205	491
AL	205	536
AL	205	559
AL	205	596
AL	205	619
AL	205	625
AL	205	669
AL	205	679
AL	205	697
AL	205	702
AL	205	748
AL	205	783
AL	251	217
AL	251	249
AL	251	418
AL	251	445
AL	251	586
AL	251	600
AL	251	638
AL	251	647
AL	251	648
AL	251	650
AL	251	676
AL	251	771
AL	251	865
AL	251	966
AL	256	201
AL	256	215
AL	256	288
AL	256	329
AL	256	360
AL	256	375
AL	256	394
AL	256	417
AL	256	512
AL	256	514
AL	256	586
AL	256	633
AL	256	643
AL	256	670
AL	256	676
AL	256	728
AL	256	752
AL	256	785
AL	256	804
AL	256	906
AL	334	345
AL	334	400
AL	334	408
AL	334	434
AL	334	456
AL	334	548
AL	334	558
AL	334	562
AL	334	564
AL	334	625
AL	334	644
AL	334	663
AL	334	682
AL	334	699
AL	334	702
AL	334	756
AL	334	779
AL	334	814
AL	334	863
AL	334	982
AL	938	223
AL	938	238
AN	268	773
AR	479	205
AR	479	229
AR	479	238
AR	479	286
AR	479	439
AR	479	495
AR	479	559
AR	479	733
AR	479	822
AR	479	824
AR	479	922
AR	479	947
AR	479	986
AR	501	303
AR	501	384
AR	501	395
AR	501	397
AR	501	401
AR	501	592
AR	501	627
AR	501	643
AR	501	843
AR	870	222
AR	870	328
AR	870	348
AR	870	443
AR	870	445
AR	870	447
AR	870	449
AR	870	494
AR	870	542
AR	870	547
AR	870	553
AR	870	613
AR	870	689
AR	870	753
AR	870	768
AR	870	772
AR	870	786
AR	870	859
AR	870	881
AR	870	937
AR	870	945
AR	870	957
AR	870	966
AS	684	254
AS	684	685
AZ	480	253
AZ	480	335
