Sheet = "5ESS_Replacement.pdf" December 21,2004
-------------
"WCCITY","WCST","SWCLLI","EFFDATE"
"Gaithersburg","MD","GTBGMDGBDS0","2005-07-01"
-------------
Sheet = "DMS100midstate_040805.pdf" April 8, 2005
"WCCITY","WCST","SWCLLI","OLDSWDESC","SWDESC"
"Pleasantville","NY","PSVLNYPVDS0","DMS-100","Nortel Succession","October 21, 2005"
"Chappaqua","NY","CHPQNYCPDS0","DMS-100","Nortel Succession","February 11, 2006"
-------------
Sheet = "LowellPacket_052505.pdf" May 25, 2005
"WCCITY","WCST","SWCLLI","OLDSWDESC","SWDESC","EFFDATE"
"Lowell","MA","LWLLMAPDS1","DMS-100","Nortel Succession","December 10, 2005"
"Westford","MA","WSFRMADEDS1","DMS-100","Nortel Succession","January 6, 2006"
Sheet = "Vz_Fairpoint_Tandem_Mar2008.pdf" March 24, 2008
-------------
"WCCITY","SWCLLI","SWFUNC"
"Lawrence","LWRNMACA03T","TDM,ILT,FGB,FGD"
"Springfield","SPFDMAWO01T","TDM,ILT,FGB,FGD"
"Worcester","WRCSMACE03T","TDM,ILT,FGB,FGD"
"Dover","DOVRNHTH02T","TDM,ILT,FGB,FGD"
"Manchester","MNCHNHCO04T","TDM,ILT,FGB,FGD"
"White River Junction","WRJTVTGA03T","TDM,ILT,FGB,FGD"
Sheet = "Williamsburgh_switch7-31.pdf" August 12, 2009
-------------
"SWNAME","WCCITY","WCST","SWCLLI","SWTYPE","SWITCHDESC","SWFUNC","EFFDATE"
"Williamsburg","Brooklyn","NY","NYCKNYWM12T","4ES","4ESS","TDM,ILT,FGB,FGD","2009-10-15"
"Williamsburg","Brooklyn","NY","NYCKNYWM25T","DMT","DMS-200","TDM,ILT,FGB,FGD","2009-10-15"
"Willamssburg","Brooklyn","NY","NYCKNYWM24T","5ES","5ESS","LCL","2009-10-15"
"Richmond Hill","Queens","NY","NYCQNYRH03T","DMT","DMS-200","LCL","2009-10-15"
Sheet = "ProjNorthNtwkChgE911.pdf" September 30, 2009
-------------
"SWCLLI","SWFUNC","WCADDR","WCCITY","WCST","WCZIP"
"KYSRWVMR1ED","E911","200 Carskadon St","Keyser","WV","26726"
"CLBGWVMA1ED","E911","428 West Main St.","Clarksburg","WV","26301"
"CLBGWVMA01T","E911","428 West Main St.","Clarksburg","WV","26301"
"CMLDMDCMDS0","E911","24 S. Centre","Cumberland","MD","21502"
"CSTWMDCRDS0","E911","14909 Winchester Rd.","Cresaptown","MD","21502"
"BLTMMDCH13T","E911,TOPS","323 North Charles St.","Baltimore","MD","21202"
Sheet = "PrjNthSS7Upd.pdf" October 1, 2009
-------------
"LATA","SWNAME","WCST","SWCLLI","SWDESC","SPC","WCADDR","WCST","WCZIP","SWFUNC"
"960","Coeur D'alene","ID","CRALIDXX02W","Tekelec","240-059-000","2115 N Government Way","ID","83814","STP"
"960","Moscow","ID","MSCWIDXX03W","Tekelec","240-060-000","509 S Howard St","ID","83843","STP"
"366","Bloomington","IL","BLTNILXD01W","Alcatel","240-101-000","110 E Monroe St","IL","61701","STP"
"366","Lincoln","IL","LNCLILXC01W","Alcatel","240-100-000","303 Broadway St","IL","62656","STP"
"362","Marion","IL","MARNILXE01W","Alcatel","240-103-000","208 W Union St","IL","62959","STP"
"362","Carbondale","IL","CRDLILXE02W","Alcatel","240-102-000","208 W Monroe St","IL","62901","STP"
"334","Fort Wayne STP","IN","FTWYINXA02W","Alcatel","240-127-000","303 E Berry St","IN","46802","STP"
"334","Garrett STP","IN","GRRTINXA01W","Alcatel","240-128-000","112 E Keyser St","IN","46738","STP"
"334","Fort Wayne LNP","IN","FTWYINXA09W","Tekelec","240-127-001","303 E Berry St","IN","46802","STP"
"334","Garrett LNP","IN","GRRTINXA03W","Tekelec","240-128-001","112 E Keyser St","IN","46738","STP"
"348","Muskegon","MI","MSKGMIXK01W","Alcatel","240-124-000","860 Terrace St","MI","49440","STP"
