0001	208
0003	207
0004	207
0005	207
0007	207
0008	210
0010	207
0011	207
0015	207
0019	207
001A	876
001F	216
001F	234
001F	330
001F	419
001F	440
001F	513
001F	567
001F	614
001F	740
001F	937
0020	207
0021	859
0022	207
0024	207
0025	207
0027	207
0029	207
002A	876
002C	859
002F	215
002F	267
002F	412
002F	484
002F	570
002F	610
002F	717
002F	724
002F	814
0030	906
0031	207
0034	207
0035	617
0035	774
0036	413
0037	413
0038	603
0039	603
003F	401
0042	603
0043	603
0045	603
0047	603
0049	603
004D	915
004F	210
004F	214
004F	254
004F	281
004F	325
004F	361
004F	409
004F	430
004F	432
004F	469
004F	512
004F	682
004F	713
004F	806
004F	817
004F	830
004F	832
004F	903
004F	915
004F	936
004F	940
004F	956
004F	972
004F	979
004G	226
0050	603
0051	213
0051	310
0051	323
0051	562
0051	626
0051	661
0051	714
0051	760
0051	805
0051	818
0051	909
0051	949
0051	951
0053	802
0054	989
0055	302
0058	802
0059	516
0059	631
0059	914
0059	917
005F	802
0061	802
0062	802
0064	802
0065	518
0066	865
0068	802
0069	802
006E	916
006F	206
006F	253
006F	360
006F	425
006F	509
0071	607
0072	518
0073	518
0076	716
0077	518
0078	716
0079	518
007E	681
007F	262
007F	414
007F	608
007F	715
007F	920
0081	315
0084	413
0084	518
0085	518
0088	607
0089	570
0089	607
008A	423
008D	212
008D	315
008D	347
008D	516
008D	518
008D	585
008D	607
008D	631
008D	646
008D	716
008D	845
008D	914
008D	917
008E	406
0091	716
0092	315
0093	585
0093	607
0095	631
0096	315
0096	518
0096	570
0096	585
0096	607
0096	716
0096	845
0097	518
0099	570
0099	607
009B	212
009B	347
009B	516
009B	631
009B	646
009B	716
009B	718
009B	845
009B	914
009D	757
009D	804
009E	307
009G	808
0100	845
0104	845
0105	518
0106	315
0107	315
0108	315
0109	716
0110	585
0111	315
0112	315
0113	585
0114	315
0116	518
0118	315
011C	561
011C	772
011C	786
011C	954
011F	229
011G	252
0121	585
0122	585
0125	518
0127	989
0128	845
0129	315
012A	864
012E	308
0131	607
0132	254
0132	325
0132	432
0132	806
0133	315
0135	845
0135	973
0138	908
0138	973
013B	208
013B	307
013B	435
013B	970
013F	404
0145	724
0148	920
0149	717
0149	814
014E	316
014E	620
014E	785
014E	913
014F	571
014F	703
0151	570
0152	570
0155	678
0156	724
0158	605
0161	484
0161	570
0161	610
0161	717
0162	610
0165	717
0168	717
0169	570
0169	610
0169	717
0169	724
0169	814
016D	302
016G	720
016G	970
0170	484
0170	570
0170	610
0170	717
0170	814
0171	724
0172	404
0172	678
0172	706
0173	205
0173	404
0173	478
0173	678
0173	706
0173	762
0175	610
0176	570
0176	724
0176	814
0177	570
0178	570
0179	724
017E	570
0183	570
0185	724
0189	724
018A	305
018A	321
018A	352
018A	386
018A	407
018A	561
018A	727
018A	754
018A	772
018A	786
018A	813
018A	850
018A	863
018A	904
018A	941
018A	954
0191	570
0192	570
0193	724
0194	814
0195	814
0196	610
0197	570
019F	339
019F	508
019F	617
019F	774
019F	781
019F	857
019F	978
0200	724
0201	570
0201	610
0201	724
0204	570
0206	570
0208	859
0209	570
0209	717
0209	724
0209	814
0210	814
0215	724
0216	410
0217	804
0219	434
0220	276
0225	540
0226	540
022E	843
022G	208
0233	434
0233	540
0233	571
0233	703
0233	757
0233	804
0236	540
0237	540
0238	540
0239	540
023B	201
023B	214
023B	217
023B	218
023B	254
