Sheet = "8102-PART1.pdf"
-------------
"SWCLLI","POPID","BEGDATE","ENDDATE","REPLDATE"
"AUSTTXGRDS7","4440","10/1/99","9/30/06","-"
"AUSTTXGRHC1","4440","10/1/99","9/30/06","-"
"AUSTTXGRKMD","4440","10/1/99","9/30/06","-"
"AUSTTXGRRS0","4440","10/1/99","9/30/06","-"
"AUSTTXHIDS0","4440","10/1/99","9/30/06","-"
"AUSTTXHODS0","4440","10/1/99","9/30/06","-"
"AUSTTXJODS0","4440","10/1/99","9/30/06","-"
"AUSTTXJORS1","4440","10/1/99","9/30/06","-"
"AUSTTXLEDS0","4440","10/1/99","9/30/06","-"
"AUSTTXLLDS0","4440","10/1/99","9/30/06","-"
"AUSTTXLTRS0","4440","10/1/99","9/30/06","-"
"AUSTTXLWRS0","4440","10/1/99","9/30/06","-"
"AUSTTXMADS0","4440","10/1/99","9/30/06","-"
"AUSTTXMCDS0","4440","10/1/99","9/30/06","-"
"AUSTTXMCRS1","4440","10/1/99","9/30/06","-"
"AUSTTXMFRS0","4440","10/1/99","9/30/06","-"
"AUSTTXOE1MD","4440","10/1/99","9/30/06","-"
"AUSTTXPAXMD","4440","10/1/99","9/30/06","-"
"AUSTTXPFDS0","4440","10/1/99","9/30/06","-"
"AUSTTXRRDS0","4440","10/1/99","9/30/06","-"
"AUSTTXTECG0","4440","10/1/99","9/30/06","-"
"AUSTTXTEDS0","4440","10/1/99","9/30/06","-"
"AUSTTXTERS1","4440","10/1/99","9/30/06","-"
"AUSTTXTWDS0","4440","10/1/99","9/30/06","-"
"AUSTTXTWRS1","4440","10/1/99","9/30/06","-"
"AUSTTXUD1MD","4440","10/1/99","9/30/06","-"
"AUSTTXUD3MD","4440","10/1/99","9/30/06","-"
"AUSTTXWADS0","4440","10/1/99","9/30/06","-"
"AUSTTXWQ1MD","4440","10/1/99","9/30/06","-"
"AUSTTXZI1MD","4440","10/1/99","9/30/06","-"
"AUSUTX78DS0","4440","10/1/99","9/30/06","-"
"AUSUTXBPDS1","4440","10/1/99","9/30/06","-"
"AUSUTXHP1MD","4540","10/1/99","9/30/06","-"
"AUSUTXLADS0","4440","10/1/99","9/30/06","-"
"AUSUTXNI1MD","4440","10/1/99","9/30/06","-"
"AUSUTXZM1MD","4440","10/1/99","9/30/06","-"
"AUSUTXZMCM0","4440","10/1/99","9/30/06","-"
"AUSUTXZMCM2","4440","10/1/99","9/30/06","-"
"AUSUTXZV1MD","4440","10/1/99","9/30/06","-"
"AUSVTXLU1MD","4440","10/1/99","9/30/06","-"
"AUSVTXZKBB1","4440","10/1/99","9/30/06","-"
"AUSWTXGX1MD","4440","10/1/99","9/30/06","-"
"AUSWTXGXCM0","4440","10/1/99","9/30/06","-"
"AUSWTXOO0MD","4440","10/1/99","9/30/06","-"
"AUSWTXSZDS0","4440","10/1/99","9/30/06","-"
"AUSWTXSZDS1","4440","10/1/99","9/30/06","-"
"AUTRMIXIRSA","3825","10/1/99","9/30/06","-"
"AVA ILXERS0","3455","10/1/99","9/30/06","-"
"AVA MOXADS0","8027","10/1/99","9/30/06","-"
"AVCYMOXARS0","2020","10/1/99","9/30/06","-"
"AVDLCOMARS1","3190","10/1/99","9/30/06","-"
"AVDLPAAVRS0","7080","10/1/99","9/30/06","-"
"AVLAPAAVRS0","2060","10/1/99","9/30/06","-"
"AVLKOHXADS0","4180","10/1/99","9/30/06","-"
"AVLLINXADS0","3550","10/1/99","9/30/06","-"
"AVLLMOXARS0","8033","10/1/99","9/30/06","-"
"AVLNCA11RS0","3108","10/1/99","9/30/06","-"
"AVLNMOXARS0","3905","10/1/99","9/30/06","-"
"AVLNNJ01RS0","4072","10/1/99","9/30/06","-"
"AVLNTXXARS0","4490","10/1/99","9/30/06","-"
"AVMRPAXARS0","2060","10/1/99","9/30/06","-"
"AVNGTXXARS0","4510","10/1/99","9/30/06","-"
"AVNLCA12RS0","3110","10/1/99","9/30/06","-"
"AVNTOKXCRS0","4240","10/1/99","9/30/06","-"
"AVOCIAXODS0","2262","10/1/99","9/30/06","-"
"AVOCMIXGDS0","3795","10/1/99","9/30/06","-"
"AVOCMNXARS3","3855","10/1/99","9/30/06","-"
"AVOCNEXLRS0","4050","10/1/99","9/30/06","-"
"AVOCNYACRS1","4140","10/1/99","9/30/06","-"
"AVOCPAAPCM1","4310","10/1/99","9/30/06","-"
"AVOCPAAPCM8","4310","10/1/99","9/30/06","-"
"AVOCWIXARS0","8007","10/1/99","9/30/06","-"
"AVONCOMADS0","3200","10/1/99","9/30/06","-"
"AVONILXDRS0","8205","10/1/99","9/30/06","-"
"AVONMNVORS3","3870","10/1/99","9/30/06","-"
"AVONMTXCRS1","3945","10/1/99","9/30/06","-"
"AVONNYXARS0","4160","10/1/99","9/30/06","-"
"AVONOHACH00","4180","10/1/99","9/30/06","-"
"AVONOHXARS1","4180","10/1/99","9/30/06","-"
"AVONOHXBRS1","4180","10/1/99","9/30/06","-"
"AVONSDXARS2","4370","10/1/99","9/30/06","-"
"AVPKFLXACM0","3240","10/1/99","9/30/06","-"
"AVPKFLXACM1","3240","10/1/99","9/30/06","-"
"AVPKFLXACM2","3240","10/1/99","9/30/06","-"
"AVPKFLXACM4","3240","10/1/99","9/30/06","-"
"AVPKFLXACM5","3240","10/1/99","9/30/06","-"
"AVPKFLXADS0","3240","10/1/99","9/30/06","-"
"AVPKFLXAEMD","3240","10/1/99","9/30/06","-"
"AVPKNYAVDS0","4130","10/1/99","9/30/06","-"
"AVRYTXXARS0","8072","10/1/99","9/30/06","-"
"AVTNILAVRS0","2252","10/1/99","9/30/06","-"
"AWDWSCXARS0","4330","10/1/99","9/30/06","-"
"AXBANYAXRS0","2280","10/1/99","9/30/06","-"
"AXTLNENWRS1","4040","10/1/99","9/30/06","-"
"AXTNVAXADS0","4630","10/1/99","9/30/06","-"
"AXVSMOXADS0","8000","10/1/99","9/30/06","-"
"AYDNNCXA746","4001","10/1/99","9/30/06","-"
"AYERMAPLDS0","3747","10/1/99","9/30/06","-"
"AYNRSCXARS0","8484","10/1/99","9/30/06","-"
"AYRSIAXODS0","3410","10/1/99","9/30/06","-"
"AYVLOHXADC0","1070","10/1/99","9/30/06","-"
"AZALORXARS0","4255","10/1/99","9/30/06","-"
"AZCYAZ03RS1","2210","10/1/99","9/30/06","-"
"AZLETXXADS0","2040","10/1/99","9/30/06","-"
"AZTCNM03RS1","4125","10/1/99","9/30/06","-"
"AZTCNMBLRS1","4125","10/1/99","9/30/06","-"
"AZUSCAXF33K","3105","10/1/99","9/30/06","-"
"AZVGAZXCRS0","2210","10/1/99","9/30/06","-"
"BADNMDBNRS0","3221","10/1/99","9/30/06","-"
"BADNNCXARS0","3962","10/1/99","9/30/06","-"
"BADNPABARS0","2060","10/1/99","9/30/06","-"
"BAKRCA11RS0","2300","10/1/99","9/30/06","-"
"BAKRFLXADS0","8036","10/1/99","9/30/06","-"
"BAKRMTQ0611","3930","10/1/99","9/30/06","-"
"BAKRMTQ0612","3930","10/1/99","9/30/06","-"
"BAKRMTXCRS1","3930","10/1/99","9/30/06","-"
"BAKRNV11RS0","4120","10/1/99","9/30/06","-"
"BAKROR23DS0","4262","10/1/99","9/30/06","-"
"BAKRORAKCM1","4262","10/1/99","9/30/06","-"
"BALBCA01DS0","3179","10/1/99","9/30/06","-"
"BALKOKXARS0","4430","10/1/99","9/30/06","-"
"BALSNYBARS0","4130","10/1/99","9/30/06","-"
"BALTNDXARS5","4020","10/1/99","9/30/06","-"
"BALYCOMADS0","3200","10/1/99","9/30/06","-"
"BALYNCXARS0","4001","10/1/99","9/30/06","-"
"BARBWI01DSA","4680","10/1/99","9/30/06","-"
"BARDTXXADS0","4420","10/1/99","9/30/06","-"
"BARGMIXJDS0","3825","10/1/99","9/30/06","-"
"BARNKSXARS0","3650","10/1/99","9/30/06","-"
"BARNOKXARS1","4240","10/1/99","9/30/06","-"
"BARNVTCHRS1","4645","10/1/99","9/30/06","-"
"BARNVTCHRS2","4645","10/1/99","9/30/06","-"
"BARNWIXARS0","4670","10/1/99","9/30/06","-"
"BARRMAJARS1","3735","10/1/99","9/30/06","-"
"BARRVTELRS1","4645","10/1/99","9/30/06","-"
"BARTALXARS0","8131","10/1/99","9/30/06","-"
"BARTFLXA53H","3322","10/1/99","9/30/06","-"
"BARTGAXADS0","3340","10/1/99","9/30/06","-"
"BARTVTELRS1","4645","10/1/99","9/30/06","-"
"BARYILXCRS0","3510","10/1/99","9/30/06","-"
"BASCILXCRS0","8205","10/1/99","9/30/06","-"
"BASLLAXARS1","3720","10/1/99","9/30/06","-"
"BASNCOXCRS1","3190","10/1/99","9/30/06","-"
"BASNMOBJ1MD","8027","10/1/99","9/30/06","-"
"BASNMOQACM1","8027","10/1/99","9/30/06","-"
"BASNMOXADS0","8027","10/1/99","9/30/06","-"
"BASNWYAAWAA","2030","10/1/99","9/30/06","-"
"BASNWYXCDS0","2030","10/1/99","9/30/06","-"
"BASWMOXADS0","8027","10/1/99","9/30/06","-"
"BASYVAXADS0","8210","10/1/99","9/30/06","-"
"BATHILXDDS0","3500","10/1/99","9/30/06","-"
"BATHMEHIDS0","3780","10/1/99","9/30/06","-"
"BATHMIXGRS0","3810","10/1/99","9/30/06","-"
"BATHNCXA923","4001","10/1/99","9/30/06","-"
"BATHNYBHRS1","4140","10/1/99","9/30/06","-"
"BATHPA01RS0","4300","10/1/99","9/30/06","-"
"BATHPABTRS0","4300","10/1/99","9/30/06","-"
"BATHSCMARS1","3340","10/1/99","9/30/06","-"
"BATNGAXARS1","3335","10/1/99","9/30/06","-"
"BATSORXARS0","4262","10/1/99","9/30/06","-"
"BATVIAXODS0","3400","10/1/99","9/30/06","-"
"BATVILFLRS0","3435","10/1/99","9/30/06","-"
"BATVNYBTDS0","2192","10/1/99","9/30/06","-"
"BATVOHBARS0","4215","10/1/99","9/30/06","-"
"BATVOHBARS5","4215","10/1/99","9/30/06","-"
"BAVLNCXARS0","3950","10/1/99","9/30/06","-"
"BAVLNYBVDS0","2280","10/1/99","9/30/06","-"
"BAVLSCMARS1","4340","10/1/99","9/30/06","-"
"BAVLTXBKRS0","4540","10/1/99","9/30/06","-"
"BAVLWVPEDS0","8304","10/1/99","9/30/06","-"
"BAWKGAXARS2","3330","10/1/99","9/30/06","-"
"BAWLTXXARS0","4532","10/1/99","9/30/06","-"
"BAXTARBXRS1","3060","10/1/99","9/30/06","-"
"BAY ARXARS0","3060","10/1/99","9/30/06","-"
"BAYUFLXA54H","3322","10/1/99","9/30/06","-"
"BAZNKSXARS0","3650","10/1/99","9/30/06","-"
"BBCYCAXFRS3","3082","10/1/99","9/30/06","-"
"BBCYMNXBRS7","3870","10/1/99","9/30/06","-"
"BBGVILXERS0","3467","10/1/99","9/30/06","-"
"BBISMIXIDS0","3800","10/1/99","9/30/06","-"
"BBLKCAXFDS0","3082","10/1/99","9/30/06","-"
"BBNPTXXADS0","4530","10/1/99","9/30/06","-"
"BBPKFLXARSA","3322","10/1/99","9/30/06","-"
"BBTPNJ06CM1","4071","10/1/99","9/30/06","-"
"BBTTMNXBDS0","8076","10/1/99","9/30/06","-"
"BBTWPAXBRS0","2060","10/1/99","9/30/06","-"
"BBVLKYXARS0","3670","10/1/99","9/30/06","-"
"BBYLNYBNDS0","2117","10/1/99","9/30/06","-"
"BCCKIN01DS0","3600","10/1/99","9/30/06","-"
"BCCKPAXBRS1","4310","10/1/99","9/30/06","-"
"BCCYILXERS0","3900","10/1/99","9/30/06","-"
"BCDMTXXADS0","4440","10/1/99","9/30/06","-"
"BCFDMEXADS0","3780","10/1/99","9/30/06","-"
"BCGRFLXARS0","3240","10/1/99","9/30/06","-"
"BCGVTNXARS0","2232","10/1/99","9/30/06","-"
"BCHHTXXARS0","4550","10/1/99","9/30/06","-"
"BCHLVAXARS0","4600","10/1/99","9/30/06","-"
"BCHMPABURS0","4300","10/1/99","9/30/06","-"
"BCHMVAXARS0","4600","10/1/99","9/30/06","-"
"BCHNGAES64A","3335","10/1/99","9/30/06","-"
"BCHNMIMNRS0","3800","10/1/99","9/30/06","-"
"BCHNNJ01RS0","4072","10/1/99","9/30/06","-"
"BCHNVABHRSM","4630","10/1/99","9/30/06","-"
"BCHRILBCDS0","3585","10/1/99","9/30/06","-"
"BCKHKYXEDS0","3670","10/1/99","9/30/06","-"
"BCKHWVFLDS0","8304","10/1/99","9/30/06","-"
"BCKLILXCRS0","3460","10/1/99","9/30/06","-"
"BCKLKSSMRS0","3660","10/1/99","9/30/06","-"
"BCKLMIXIDS0","3800","10/1/99","9/30/06","-"
"BCKLMOXADS0","3905","10/1/99","9/30/06","-"
"BCKLWA01DS0","4658","10/1/99","9/30/06","-"
"BCKLWVAYCM8","8304","10/1/99","9/30/06","-"
"BCKLWVBRCM1","4340","10/1/99","9/30/06","-"
"BCKLWVCE1MD","8304","10/1/99","9/30/06","-"
"BCKLWVCECM2","8304","10/1/99","9/30/06","-"
"BCKLWVCECM8","8304","10/1/99","9/30/06","-"
"BCKLWVCEH01","8304","10/1/99","9/30/06","-"
"BCKLWVWDDS0","8304","10/1/99","9/30/06","-"
"BCKMILBMRS0","3900","10/1/99","9/30/06","-"
"BCKNINXARS0","7190","10/1/99","9/30/06","-"
"BCKNMOXARS0","3905","10/1/99","9/30/06","-"
"BCKNUTXCRS1","4565","10/1/99","9/30/06","-"
"BCKNVABCRSM","4590","10/1/99","9/30/06","-"
"BCKRMNXADS0","2252","10/1/99","9/30/06","-"
"BCKSMNXBRS9","4030","10/1/99","9/30/06","-"
"BCKTMAWARS1","2200","10/1/99","9/30/06","-"
"BCKYAZMARS1","2210","10/1/99","9/30/06","-"
"BCKYIAXORS0","3400","10/1/99","9/30/06","-"
"BCKYKSXADS0","3650","10/1/99","9/30/06","-"
"BCLDAKXADS1","2220","10/1/99","9/30/06","-"
"BCLDOHXA65A","4200","10/1/99","9/30/06","-"
"BCLFTXXADS0","2080","10/1/99","9/30/06","-"
"BCLKPAXBDS0","4310","10/1/99","9/30/06","-"
"BCMTNCCERS0","3950","10/1/99","9/30/06","-"
"BCNTPR01RS0","4311","10/1/99","9/30/06","-"
"BCNTPRURRS1","4311","10/1/99","9/30/06","-"
"BCPTMECERS1","3780","10/1/99","9/30/06","-"
"BCPTNYXARS0","4160","10/1/99","9/30/06","-"
"BCRGVAXARS0","4622","10/1/99","9/30/06","-"
"BCRTFLBBRS0","3325","10/1/99","9/30/06","-"
"BCRTFLBTDS0","3325","10/1/99","9/30/06","-"
"BCRTFLBTRS3","3325","10/1/99","9/30/06","-"
"BCRTFLMADMD","3325","10/1/99","9/30/06","-"
"BCRTFLMADS1","3325","10/1/99","9/30/06","-"
"BCRTFLMARS0","3325","10/1/99","9/30/06","-"
"BCRTFLMARS1","3325","10/1/99","9/30/06","-"
"BCRTFLSADS0","3325","10/1/99","9/30/06","-"
"BCRTFLSARS0","3325","10/1/99","9/30/06","-"
"BCRTFLSNCM1","3325","10/1/99","9/30/06","-"
"BCRTFLTWH01","3235","10/1/99","9/30/06","-"
"BCTNGAMA78A","3330","10/1/99","9/30/06","-"
"BCTNMOXADS0","3905","10/1/99","9/30/06","-"
"BCTNMSMADS0","3920","10/1/99","9/30/06","-"
"BCTNTNXARS0","4410","10/1/99","9/30/06","-"
"BCTNWAXXRS0","4657","10/1/99","9/30/06","-"
"BCTRMOXARS0","3900","10/1/99","9/30/06","-"
"BCTWMDBTRS0","3760","10/1/99","9/30/06","-"
"BCVLIN01RSC","7190","10/1/99","9/30/06","-"
"BCVLOH5252A","4180","10/1/99","9/30/06","-"
"BCWDOH46DS0","4180","10/1/99","9/30/06","-"
"BCWDVAXADS0","4622","10/1/99","9/30/06","-"
"BCWYCA11RS0","8080","10/1/99","9/30/06","-"
"BCWYPAXBDS0","8014","10/1/99","9/30/06","-"
"BCYNPABCDS0","4300","10/1/99","9/30/06","-"
"BCYNPABCRS0","4300","10/1/99","9/30/06","-"
"BCYRKSXARS0","2020","10/1/99","9/30/06","-"
"BCYROHXARS1","4200","10/1/99","9/30/06","-"
"BDAXMIMNRSA","3830","10/1/99","9/30/06","-"
"BDBACA11RS0","3170","10/1/99","9/30/06","-"
"BDBKNJBDDS5","4071","10/1/99","9/30/06","-"
"BDCWARMARS2","3060","10/1/99","9/30/06","-"
"BDFRIAXODS0","2262","10/1/99","9/30/06","-"
"BDFRIN01DS0","3560","10/1/99","9/30/06","-"
"BDFRKYMADS0","3680","10/1/99","9/30/06","-"
"BDFRMAAWDS0","3741","10/1/99","9/30/06","-"
"BDFRMAPADS0","3747","10/1/99","9/30/06","-"
"BDFRMEJEDS0","3780","10/1/99","9/30/06","-"
"BDFRMEORCM1","3780","10/1/99","9/30/06","-"
"BDFRNHAMRS1","4060","10/1/99","9/30/06","-"
"BDFROH2323E","4180","10/1/99","9/30/06","-"
"BDFRPAKKCM1","8014","10/1/99","9/30/06","-"
"BDFRPAUSCM1","8014","10/1/99","9/30/06","-"
"BDFRPAXBDS0","8014","10/1/99","9/30/06","-"
"BDFRVABDDS0","4630","10/1/99","9/30/06","-"
"BDGRCAXFRS1","3110","10/1/99","9/30/06","-"
"BDGRIAXODS0","3400","10/1/99","9/30/06","-"
"BDGRMNXBRS5","4030","10/1/99","9/30/06","-"
"BDLKNCXA461","4015","10/1/99","9/30/06","-"
"BDLPILXDRS0","8205","10/1/99","9/30/06","-"
"BDMDNVXS875","4110","10/1/99","9/30/06","-"
"BDMDWA01RS1","4658","10/1/99","9/30/06","-"
"BDMNNJ01DS5","4077","10/1/99","9/30/06","-"
"BDMNOH7575A","4220","10/1/99","9/30/06","-"
"BDMNOHIAAMD","4220","10/1/99","9/30/06","-"
"BDMNORXADS0","4262","10/1/99","9/30/06","-"
"BDTMOHIBCM0","4220","10/1/99","9/30/06","-"
"BDTMOHIDAMD","4220","10/1/99","9/30/06","-"
"BDTTMNXARS0","4030","10/1/99","9/30/06","-"
"BDTWILBDRS0","3510","10/1/99","9/30/06","-"
"BDVGNYBVDS0","4165","10/1/99","9/30/06","-"
"BDVLILXCDS0","3460","10/1/99","9/30/06","-"
"BDVLLAXARS1","3730","10/1/99","9/30/06","-"
"BDVLNCXADS0","3950","10/1/99","9/30/06","-"
"BDVYPAXBRS1","8014","10/1/99","9/30/06","-"
"BDYLMOXARS0","8027","10/1/99","9/30/06","-"
"BEALCA11RS0","8080","10/1/99","9/30/06","-"
"BEANTXXARS0","4520","10/1/99","9/30/06","-"
"BECDMNXBRS8","4030","10/1/99","9/30/06","-"
"BECHNDXADS0","4020","10/1/99","9/30/06","-"
"BECNNYBEDS0","8156","10/1/99","9/30/06","-"
"BEDSTXXADS0","2080","10/1/99","9/30/06","-"
"BEEBARMARS1","3060","10/1/99","9/30/06","-"
"BELHCOXCDS0","3190","10/1/99","9/30/06","-"
"BELHMIMNRSA","3800","10/1/99","9/30/06","-"
"BELHNCXA352","4015","10/1/99","9/30/06","-"
"BELHNDQACM1","4020","10/1/99","9/30/06","-"
"BELHNDXA87G","4020","10/1/99","9/30/06","-"
"BELLCA11DS0","3108","10/1/99","9/30/06","-"
"BELNNM04CM1","4125","10/1/99","9/30/06","-"
"BELNNMMADS0","4125","10/1/99","9/30/06","-"
"BELRCAXF47K","3108","10/1/99","9/30/06","-"
"BELRKSXARS0","3650","10/1/99","9/30/06","-"
"BELTKS02RL0","3650","10/1/99","9/30/06","-"
"BELTMTXCRS1","3945","10/1/99","9/30/06","-"
"BELTWI01DS0","4680","10/1/99","9/30/06","-"
"BEMRNEXCRS1","2262","10/1/99","9/30/06","-"
"BEMTARXARS1","3060","10/1/99","9/30/06","-"
"BEMTILXERS2","3467","10/1/99","9/30/06","-"
"BEMTMSMADS1","3920","10/1/99","9/30/06","-"
"BEMTNCXA38F","3962","10/1/99","9/30/06","-"
"BENAMNXBDS0","4030","10/1/99","9/30/06","-"
"BENDOR24DS0","4265","10/1/99","9/30/06","-"
"BENDORGCCM0","4262","10/1/99","9/30/06","-"
"BENDORQACM1","4265","10/1/99","9/30/06","-"
"BENDTXXARS0","8091","10/1/99","9/30/06","-"
"BENTMSSUDS1","3920","10/1/99","9/30/06","-"
"BEREKYXADS0","3670","10/1/99","9/30/06","-"
"BEREOH2323E","4180","10/1/99","9/30/06","-"
"BEREVA019MD","4590","10/1/99","9/30/06","-"
"BERNINXARS1","3550","10/1/99","9/30/06","-"
"BERNLAMARS1","3730","10/1/99","9/30/06","-"
"BERNLASPRS1","3730","10/1/99","9/30/06","-"
"BERNMOXADS0","3900","10/1/99","9/30/06","-"
"BERNNYBRDS0","4130","10/1/99","9/30/06","-"
"BERVPAXBRS0","4290","10/1/99","9/30/06","-"
"BESNILXCRS0","3442","10/1/99","9/30/06","-"
"BESPKYXARS2","3690","10/1/99","9/30/06","-"
"BESSOKMARS1","4230","10/1/99","9/30/06","-"
"BETHAKAFCM1","2220","10/1/99","9/30/06","-"
"BETHAKXADS0","2220","10/1/99","9/30/06","-"
"BETHMEXADS0","3780","10/1/99","9/30/06","-"
"BETHNCXARS0","4001","10/1/99","9/30/06","-"
"BETHOHBEDS0","4170","10/1/99","9/30/06","-"
"BETHVTMARS1","4645","10/1/99","9/30/06","-"
"BETNSCMA33E","4360","10/1/99","9/30/06","-"
"BETNTXBEDS0","4550","10/1/99","9/30/06","-"
"BETTTXXARSU","4510","10/1/99","9/30/06","-"
"BETWWIXARS0","4680","10/1/99","9/30/06","-"
"BEVLARXADS0","3060","10/1/99","9/30/06","-"
"BEVLNCXARS0","3971","10/1/99","9/30/06","-"
"BEVLOH92RS1","4190","10/1/99","9/30/06","-"
"BEVLSCMA47E","4350","10/1/99","9/30/06","-"
"BEVLTXBVDS0","4480","10/1/99","9/30/06","-"
"BEVLVABVRSM","8211","10/1/99","9/30/06","-"
"BEVRAKXADS1","2220","10/1/99","9/30/06","-"
"BEVRMOXADS0","3905","10/1/99","9/30/06","-"
"BEVROHXBRS0","4206","10/1/99","9/30/06","-"
"BEVROKXARS0","4430","10/1/99","9/30/06","-"
"BEVRORXARS0","4265","10/1/99","9/30/06","-"
"BEVRUTAFCM1","4570","10/1/99","9/30/06","-"
"BEVRUTMARS1","4570","10/1/99","9/30/06","-"
"BEWKPABRDS0","4310","10/1/99","9/30/06","-"
"BFCTIAXORS5","3400","10/1/99","9/30/06","-"
"BFCTIAXRDS0","3400","10/1/99","9/30/06","-"
"BFGVILASCM0","3435","10/1/99","9/30/06","-"
"BFGVILASCM4","3435","10/1/99","9/30/06","-"
"BFGVILGUCM0","3435","10/1/99","9/30/06","-"
"BFGVILGUCM3","3435","10/1/99","9/30/06","-"
"BFLGSDXARS3","4370","10/1/99","9/30/06","-"
"BFLGTXXADS0","4420","10/1/99","9/30/06","-"
"BFLKARMARS1","3060","10/1/99","9/30/06","-"
"BFLKMNXBRS0","2252","10/1/99","9/30/06","-"
"BFLOILBFRS0","3532","10/1/99","9/30/06","-"
"BFLOINXADS0","3620","10/1/99","9/30/06","-"
"BFLOKSXARS0","3660","10/1/99","9/30/06","-"
"BFLOKYXARS0","3690","10/1/99","9/30/06","-"
"BFLOMNAN0MD","2252","10/1/99","9/30/06","-"
"BFLOMNBURS6","2252","10/1/99","9/30/06","-"
"BFLOMOXADS0","8027","10/1/99","9/30/06","-"
"BFLONDXADS6","4030","10/1/99","9/30/06","-"
"BFLONYBADS0","2192","10/1/99","9/30/06","-"
"BFLONYDADS0","2192","10/1/99","9/30/06","-"
"BFLONYDAW10","2192","10/1/99","9/30/06","-"
"BFLONYDWDS0","2192","10/1/99","9/30/06","-"
"BFLONYELDS0","2192","10/1/99","9/30/06","-"
"BFLONYFKDS0","2192","10/1/99","9/30/06","-"
"BFLONYFR1CD","2192","10/1/99","9/30/06","-"
"BFLONYFR20T","2192","10/1/99","9/30/06","-"
"BFLONYFR50T","2192","10/1/99","9/30/06","-"
"BFLONYFRCM1","2192","10/1/99","9/30/06","-"
"BFLONYFRDS2","2192","10/1/99","9/30/06","-"
"BFLONYFRDS3","2192","10/1/99","9/30/06","-"
"BFLONYFRDS4","2192","10/1/99","9/30/06","-"
"BFLONYFRH07","2192","10/1/99","9/30/06","-"
"BFLONYFRWMD","2192","10/1/99","9/30/06","-"
"BFLONYFRX8X","2192","10/1/99","9/30/06","-"
"BFLONYGODS0","2192","10/1/99","9/30/06","-"
"BFLONYGODS2","2192","10/1/99","9/30/06","-"
"BFLONYHEDS0","2192","10/1/99","9/30/06","-"
"BFLONYJVW01","2192","10/1/99","9/30/06","-"
"BFLONYLSCM2","2192","10/1/99","9/30/06","-"
"BFLONYMADS0","2192","10/1/99","9/30/06","-"
"BFLONYRODS0","2192","10/1/99","9/30/06","-"
"BFLONYSEDS0","2192","10/1/99","9/30/06","-"
"BFLONYSPDS0","2192","10/1/99","9/30/06","-"
"BFLONYSSW02","2192","10/1/99","9/30/06","-"
"BFLONYTO0MD","2192","10/1/99","9/30/06","-"
"BFLOOKXARS0","4230","10/1/99","9/30/06","-"
"BFLOPAXBRS0","2060","10/1/99","9/30/06","-"
"BFLOSDXARL0","4370","10/1/99","9/30/06","-"
"BFLOTXXADS0","4532","10/1/99","9/30/06","-"
"BFLOWVBLRS1","8304","10/1/99","9/30/06","-"
"BFLOWY0300A","2030","10/1/99","9/30/06","-"
"BFLOWYMARS1","2030","10/1/99","9/30/06","-"
"BFTNARXADS0","3060","10/1/99","9/30/06","-"
"BFTNGAXARS3","3330","10/1/99","9/30/06","-"
"BFTNIN01RSA","3550","10/1/99","9/30/06","-"
"BFTNOHXARS1","4200","10/1/99","9/30/06","-"
"BFTNSCXA75E","3860","10/1/99","9/30/06","-"
"BFTWWI11RS1","2240","10/1/99","9/30/06","-"
"BFTWWIABCM0","2240","10/1/99","9/30/06","-"
"BFVYOKXADS0","4240","10/1/99","9/30/06","-"
"BGBKILBKDS0","3435","10/1/99","9/30/06","-"
"BGBNWI11RS0","2240","10/1/99","9/30/06","-"
"BGBWKSXADS0","3660","10/1/99","9/30/06","-"
"BGCBOKXADS0","4240","10/1/99","9/30/06","-"
"BGCBOKXBDS0","4240","10/1/99","9/30/06","-"
"BGCHMSSUDS1","3920","10/1/99","9/30/06","-"
"BGCKCAXFRS0","3110","10/1/99","9/30/06","-"
"BGCKMSXARS0","3920","10/1/99","9/30/06","-"
"BGCNGAXARS1","3337","10/1/99","9/30/06","-"
"BGCNLAXARS1","3730","10/1/99","9/30/06","-"
"BGCNTXXARS0","4530","10/1/99","9/30/06","-"
"BGCPGAXARS1","3335","10/1/99","9/30/06","-"
"BGCYUT04CM1","4570","10/1/99","9/30/06","-"
"BGCYUTMADS0","4570","10/1/99","9/30/06","-"
"BGDDAZXCDS0","2210","10/1/99","9/30/06","-"
"BGDDKYMADS0","3680","10/1/99","9/30/06","-"
"BGDLCOXCRS0","3200","10/1/99","9/30/06","-"
"BGFKMNXBDS0","8076","10/1/99","9/30/06","-"
"BGFKMTXCRS0","3945","10/1/99","9/30/06","-"
"BGFLNYBFRS1","4140","10/1/99","9/30/06","-"
"BGFSMNXBRS0","8076","10/1/99","9/30/06","-"
"BGGSCA11RS0","1190","10/1/99","9/30/06","-"
"BGGSOKXADS1","4240","10/1/99","9/30/06","-"
"BGGSWYQACM1","2030","10/1/99","9/30/06","-"
"BGGSWYXCDS0","2030","10/1/99","9/30/06","-"
"BGHLWAAAQ01","4657","10/1/99","9/30/06","-"
"BGHMNMXCDS0","4125","10/1/99","9/30/06","-"
"BGISVABIRSM","4600","10/1/99","9/30/06","-"
"BGLKAKXARS1","2220","10/1/99","9/30/06","-"
"BGLKMNXA26G","2252","10/1/99","9/30/06","-"
"BGLKTXXARS0","8091","10/1/99","9/30/06","-"
"BGLKWAXXRS0","4655","10/1/99","9/30/06","-"
"BGLSLAMARS1","2152","10/1/99","9/30/06","-"
