Sheet = "8102-PART1.pdf"
-------------
"SWCLLI","POPID","BEGDATE","ENDDATE","REPLDATE"
"ADMSOKXARS1","4430","10/1/99","9/30/06","-"
"ADMSTX01DS0","4490","10/1/99","9/30/06","-"
"ADMSWIXADS0","4680","10/1/99","9/30/06","-"
"ADRNGAXA66A","3350","10/1/99","9/30/06","-"
"ADRNMIAMCM2","8475","10/1/99","9/30/06","-"
"ADRNMIAQCM2","8475","10/1/99","9/30/06","-"
"ADRNMIDE1MD","2330","10/1/99","9/30/06","-"
"ADRNMIXGDS0","8475","10/1/99","9/30/06","-"
"ADRNMNXADS0","3855","10/1/99","9/30/06","-"
"ADRNMOAXRS0","2020","10/1/99","9/30/06","-"
"ADRNORXARS1","8352","10/1/99","9/30/06","-"
"ADRNTXXARS0","4430","10/1/99","9/30/06","-"
"ADSNILCGCM0","3435","10/1/99","9/30/06","-"
"ADSNMIXIDS0","3810","10/1/99","9/30/06","-"
"ADSNNYXADS0","4140","10/1/99","9/30/06","-"
"ADSNTXH01MD","2040","10/1/99","9/30/06","-"
"ADSNTXHFDS0","4490","10/1/99","9/30/06","-"
"ADSNVTXARS1","4645","10/1/99","9/30/06","-"
"ADTWPAXARS0","4290","10/1/99","9/30/06","-"
"ADVLILXERS0","3900","10/1/99","9/30/06","-"
"ADVLMIXGDS1","3805","10/1/99","9/30/06","-"
"ADVLOHXA79A","4190","10/1/99","9/30/06","-"
"ADVLTNXADS1","4410","10/1/99","9/30/06","-"
"ADVLTXAVRS0","4440","10/1/99","9/30/06","-"
"ADVNMORARSR","3900","10/1/99","9/30/06","-"
"ADVNNCAACM1","4015","10/1/99","9/30/06","-"
"ADVNNCXARS0","4015","10/1/99","9/30/06","-"
"AFACCOMADS0","3190","10/1/99","9/30/06","-"
"AFTNIAXORS3","3400","10/1/99","9/30/06","-"
"AFTNMNAFRS4","2252","10/1/99","9/30/06","-"
"AFTNNYXADS0","4140","10/1/99","9/30/06","-"
"AFTNOKMARS1","4240","10/1/99","9/30/06","-"
"AFTNTXXARS0","4520","10/1/99","9/30/06","-"
"AFTNWYMARS1","2030","10/1/99","9/30/06","-"
"AFTNWYQACM1","2030","10/1/99","9/30/06","-"
"AGANGU01DS1","7471","10/1/99","9/30/06","-"
"AGATCOXCDS0","3190","10/1/99","9/30/06","-"
"AGATGUAARS0","7471","10/1/99","9/30/06","-"
"AGDLCA11RS0","3187","10/1/99","9/30/06","-"
"AGDLPRADRL0","4311","10/1/99","9/30/06","-"
"AGDLPRCODS1","4311","10/1/99","9/30/06","-"
"AGDLTXXARS0","4480","10/1/99","9/30/06","-"
"AGFIAZSRDS0","2210","10/1/99","9/30/06","-"
"AGINMNXARS2","4030","10/1/99","9/30/06","-"
"AGLRCOMARS1","3190","10/1/99","9/30/06","-"
"AGNCIAXORS0","3400","10/1/99","9/30/06","-"
"AGNCMOALRS0","2020","10/1/99","9/30/06","-"
"AGNDKSXARS0","3650","10/1/99","9/30/06","-"
"AGORCA11DS0","3187","10/1/99","9/30/06","-"
"AGRAKSXARS0","3650","10/1/99","9/30/06","-"
"AGRAOKXADS0","4240","10/1/99","9/30/06","-"
"AGSTARXADS0","3060","10/1/99","9/30/06","-"
"AGSTGAAU86C","3340","10/1/99","9/30/06","-"
"AGSTGABBCM3","3340","10/1/99","9/30/06","-"
"AGSTGABMCM1","3340","10/1/99","9/30/06","-"
"AGSTGADLCM1","3340","10/1/99","9/30/06","-"
"AGSTGADLCM2","3340","10/1/99","9/30/06","-"
"AGSTGADLDSN","3340","10/1/99","9/30/06","-"
"AGSTGADLRS0","3340","10/1/99","9/30/06","-"
"AGSTGADLRS1","3340","10/1/99","9/30/06","-"
"AGSTGAFL79C","3340","10/1/99","9/30/06","-"
"AGSTGAGH00A","3340","10/1/99","9/30/06","-"
"AGSTGAGHDS0","3340","10/1/99","9/30/06","-"
"AGSTGAIGCM1","3340","10/1/99","9/30/06","-"
"AGSTGAMT72C","3340","10/1/99","9/30/06","-"
